baseline_name,family,conversation_id,num_turns,num_candidate_boundaries,gold_boundary_density,gold_boundaries,predicted_boundaries,ordered_boundary_mae,boundary_nearest_distance,oversegmentation_rate,miss_rate,boundary_windowdiff,boundary_pk,boundary_auprc,boundary_tp_exact,boundary_fp_exact,boundary_fn_exact,boundary_precision_exact,boundary_recall_exact,boundary_f1_exact,boundary_tp_tol1,boundary_fp_tol1,boundary_fn_tol1,boundary_precision_tol1,boundary_recall_tol1,boundary_f1_tol1,boundary_tp_tol2,boundary_fp_tol2,boundary_fn_tol2,boundary_precision_tol2,boundary_recall_tol2,boundary_f1_tol2,boundary_tp_tol3,boundary_fp_tol3,boundary_fn_tol3,boundary_precision_tol3,boundary_recall_tol3,boundary_f1_tol3
lexical_shift,multi_topic_chat,multi_topic_city_day,6,4,0.25,[3],[3],0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
style_shift,multi_topic_chat,multi_topic_city_day,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oracle_random_matched_count,multi_topic_chat,multi_topic_city_day,6,4,0.25,[3],[],1.046875,1.046875,0.796875,0.796875,0.3489583333333333,0.4609375,0.0,0.203125,0.796875,0.796875,0.203125,0.203125,0.203125,0.75,0.25,0.25,0.75,0.75,0.75,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
fixed_window,multi_topic_chat,multi_topic_office_then_gift,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lexical_shift,multi_topic_chat,multi_topic_office_then_gift,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
style_shift,multi_topic_chat,multi_topic_office_then_gift,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oracle_random_matched_count,multi_topic_chat,multi_topic_office_then_gift,6,4,0.25,[3],[],1.109375,1.109375,0.796875,0.796875,0.36979166666666663,0.4765625,0.0,0.203125,0.796875,0.796875,0.203125,0.203125,0.203125,0.6875,0.3125,0.3125,0.6875,0.6875,0.6875,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
fixed_window,multi_topic_chat,multi_topic_trip_then_email,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lexical_shift,multi_topic_chat,multi_topic_trip_then_email,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
style_shift,multi_topic_chat,multi_topic_trip_then_email,6,4,0.25,[3],[1],2.0,2.0,1.0,1.0,0.6666666666666666,0.75,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
oracle_random_matched_count,multi_topic_chat,multi_topic_trip_then_email,6,4,0.25,[3],[],1.046875,1.046875,0.765625,0.765625,0.3489583333333333,0.453125,0.0,0.234375,0.765625,0.765625,0.234375,0.234375,0.234375,0.71875,0.28125,0.28125,0.71875,0.71875,0.71875,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
fixed_window,retrieval_heavy,retrieval_travel_plan,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lexical_shift,retrieval_heavy,retrieval_travel_plan,6,4,0.0,[],[1],0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
style_shift,retrieval_heavy,retrieval_travel_plan,6,4,0.0,[],[2],0.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle_random_matched_count,retrieval_heavy,retrieval_travel_plan,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fixed_window,retrieval_heavy,retrieval_project_notes,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lexical_shift,retrieval_heavy,retrieval_project_notes,6,4,0.0,[],[1],0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
style_shift,retrieval_heavy,retrieval_project_notes,6,4,0.0,[],[1],0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle_random_matched_count,retrieval_heavy,retrieval_project_notes,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fixed_window,retrieval_heavy,retrieval_med_schedule,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lexical_shift,retrieval_heavy,retrieval_med_schedule,6,4,0.0,[],[1],0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
style_shift,retrieval_heavy,retrieval_med_schedule,6,4,0.0,[],[2],0.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle_random_matched_count,retrieval_heavy,retrieval_med_schedule,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fixed_window,reasoning_chat,reasoning_subscription_break_even,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lexical_shift,reasoning_chat,reasoning_subscription_break_even,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
style_shift,reasoning_chat,reasoning_subscription_break_even,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
oracle_random_matched_count,reasoning_chat,reasoning_subscription_break_even,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fixed_window,reasoning_chat,reasoning_shipping_costs,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lexical_shift,reasoning_chat,reasoning_shipping_costs,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
style_shift,reasoning_chat,reasoning_shipping_costs,6,4,0.0,[],[2],0.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle_random_matched_count,reasoning_chat,reasoning_shipping_costs,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fixed_window,reasoning_chat,reasoning_shift_coverage,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lexical_shift,reasoning_chat,reasoning_shift_coverage,6,4,0.0,[],[3],0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
style_shift,reasoning_chat,reasoning_shift_coverage,6,4,0.0,[],[3],0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle_random_matched_count,reasoning_chat,reasoning_shift_coverage,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fixed_window,code_conversation,code_python_sort_none,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lexical_shift,code_conversation,code_python_sort_none,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
style_shift,code_conversation,code_python_sort_none,6,4,0.0,[],[3],0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle_random_matched_count,code_conversation,code_python_sort_none,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fixed_window,code_conversation,code_js_array_map,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lexical_shift,code_conversation,code_js_array_map,6,4,0.0,[],[1],0.0,0.0,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
style_shift,code_conversation,code_js_array_map,6,4,0.0,[],[3],0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle_random_matched_count,code_conversation,code_js_array_map,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fixed_window,code_conversation,code_sql_left_join,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
lexical_shift,code_conversation,code_sql_left_join,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
style_shift,code_conversation,code_sql_left_join,6,4,0.0,[],[3],0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oracle_random_matched_count,code_conversation,code_sql_left_join,6,4,0.0,[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
fixed_window,long_dependency,dependency_bullet_format,6,4,0.5,"[1, 3]",[],0.0,0.0,0.0,1.0,0.75,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
lexical_shift,long_dependency,dependency_bullet_format,6,4,0.5,"[1, 3]",[1],0.0,0.6666666666666666,0.0,0.5,0.5,0.2,0.8333333333333333,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666
style_shift,long_dependency,dependency_bullet_format,6,4,0.5,"[1, 3]",[],0.0,0.0,0.0,1.0,0.75,0.4,0.75,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
oracle_random_matched_count,long_dependency,dependency_bullet_format,6,4,0.5,"[1, 3]",[],0.71875,0.578125,0.53125,0.53125,0.4140625,0.42499999999999993,0.0,0.9375,1.0625,1.0625,0.46875,0.46875,0.46875,1.8125,0.1875,0.1875,0.90625,0.90625,0.90625,1.8125,0.1875,0.1875,0.90625,0.90625,0.90625,2.0,0.0,0.0,1.0,1.0,1.0
fixed_window,long_dependency,dependency_sentence_limit,6,4,0.5,"[1, 3]",[],0.0,0.0,0.0,1.0,0.75,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
lexical_shift,long_dependency,dependency_sentence_limit,6,4,0.5,"[1, 3]",[1],0.0,0.6666666666666666,0.0,0.5,0.5,0.2,0.8333333333333333,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666
style_shift,long_dependency,dependency_sentence_limit,6,4,0.5,"[1, 3]",[],0.0,0.0,0.0,1.0,0.75,0.4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
oracle_random_matched_count,long_dependency,dependency_sentence_limit,6,4,0.5,"[1, 3]",[],0.640625,0.53515625,0.5,0.5,0.3984375,0.4,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.859375,0.140625,0.140625,0.9296875,0.9296875,0.9296875,1.859375,0.140625,0.140625,0.9296875,0.9296875,0.9296875,2.0,0.0,0.0,1.0,1.0,1.0
fixed_window,long_dependency,dependency_table_request,6,4,0.5,"[1, 3]",[],0.0,0.0,0.0,1.0,0.75,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
lexical_shift,long_dependency,dependency_table_request,6,4,0.5,"[1, 3]",[1],0.0,0.6666666666666666,0.0,0.5,0.5,0.2,1.0,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666
style_shift,long_dependency,dependency_table_request,6,4,0.5,"[1, 3]",[2],1.0,1.0,0.5,1.0,0.25,0.6,0.5833333333333333,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666
oracle_random_matched_count,long_dependency,dependency_table_request,6,4,0.5,"[1, 3]",[],0.6328125,0.4921875,0.4453125,0.4453125,0.36328125,0.35624999999999996,0.0,1.109375,0.890625,0.890625,0.5546875,0.5546875,0.5546875,1.8125,0.1875,0.1875,0.90625,0.90625,0.90625,1.8125,0.1875,0.1875,0.90625,0.90625,0.90625,2.0,0.0,0.0,1.0,1.0,1.0
fixed_window,casual_chat,h2_casual_hard_switch,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
lexical_shift,casual_chat,h2_casual_hard_switch,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
style_shift,casual_chat,h2_casual_hard_switch,6,4,0.25,[3],[],0.0,0.0,0.0,1.0,1.0,0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
oracle_random_matched_count,casual_chat,h2_casual_hard_switch,6,4,0.25,[3],[],0.96875,0.96875,0.734375,0.734375,0.32291666666666663,0.42578125,0.0,0.265625,0.734375,0.734375,0.265625,0.265625,0.265625,0.765625,0.234375,0.234375,0.765625,0.765625,0.765625,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
fixed_window,multi_topic_chat,h2_multi_topic_triple_shift,6,4,0.5,"[1, 3]",[],0.0,0.0,0.0,1.0,0.75,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
lexical_shift,multi_topic_chat,h2_multi_topic_triple_shift,6,4,0.5,"[1, 3]",[4],3.0,1.6666666666666667,0.5,1.0,0.75,0.6,0.5833333333333333,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,1.0,0.5,0.6666666666666666
